CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
CUST-1000,34.0,Male,3,$29.85,1098.2162023846338,Two year,Credit card,No
CUST-1001,150.0,Female,10,$56.95,4544.186090057075,month to month,Mailed check,Yes
CUST-1002,52.0,M,2,$105.50,6144.766597652454,One year,Credit card,No
CUST-1003,45.0,Female,10,$56.95,7529.311737675901,Month-to-month,Bank transfer,Yes
CUST-1004,25.0,M,3,$29.85,225.00305877488444,One year,Mailed check,Yes
CUST-1005,25.0,Female,8,$29.85,4229.8051183387715,month to month,Electronic check,No
CUST-1006,25.0,Female,1,$29.85,3819.8521141630963,Unknown,Mailed check,No
CUST-1007,61.0,M,8,$56.95,5282.834673608061,One year,Mailed check,No
CUST-1008,52.0,Male,10,99.99,4520.672950276201,Two year,Electronic check,No
CUST-1009,52.0,Female,1,$29.85,5527.609289601596,Two year,Mailed check,No
CUST-1010,25.0,Male,0,99.99,5298.852419518604,Unknown,Bank transfer,Yes
CUST-1011,150.0,nan,5,$105.50,1024.3926263777748,month to month,Credit card,Yes
CUST-1012,61.0,F,8,$56.95,6417.771517587885,m2m,Electronic check,Yes
CUST-1013,34.0,Male,3,$105.50,1073.5373481589663,Two year,Credit card,No
CUST-1014,25.0,Female,0,$56.95,5618.391939152183,Month-to-month,Bank transfer,Yes
CUST-1015,25.0,F,5,99.99,3387.548404360793,month to month,Electronic check,Yes
CUST-1016,34.0,Male,3,$56.95,4159.420803155123,One year,Credit card,No
CUST-1017,45.0,Female,2,$56.95,7236.054313568114,One year,Credit card,No
CUST-1018,45.0,F,3,$29.85,7130.081439140544,Month-to-month,Bank transfer,No
CUST-1019,34.0,Male,1,$56.95,6561.0648146747335,Two year,Credit card,Yes
CUST-1020,52.0,Female,1,$29.85,4130.172205604954,month to month,Bank transfer,No
CUST-1021,25.0,Male,2,$56.95,5916.294500057282,Month-to-month,Mailed check,Yes
CUST-1022,34.0,F,0,$29.85,4151.886738598594,Two year,Bank transfer,No
CUST-1023,34.0,nan,5,INVALID,6969.888051550742,month to month,Mailed check,Yes
CUST-1024,45.0,F,3,99.99,3281.9290825399094,One year,Electronic check,No
CUST-1025,61.0,Female,1,$56.95,7764.859220877527,month to month,Credit card,No
CUST-1026,25.0,M,0,$29.85,7465.349790008133,Unknown,Bank transfer,No
CUST-1027,45.0,M,2,$105.50,5958.660693669106,m2m,Bank transfer,No
CUST-1028,45.0,Male,10,$105.50,2307.385484990969,month to month,Credit card,Yes
CUST-1029,25.0,M,8,99.99,1140.0633514667413,m2m,Credit card,No
CUST-1030,52.0,Male,10,$29.85,6852.15725573626,month to month,Electronic check,No
CUST-1031,25.0,Female,10,$56.95,1405.888060489894,m2m,Electronic check,No
CUST-1032,25.0,Male,1,$29.85,6848.660233078952,Unknown,Bank transfer,No
CUST-1033,,Male,2,$29.85,3977.0435530276477,One year,Electronic check,No
CUST-1034,150.0,Male,3,99.99,3311.7985920840233,Two year,Mailed check,No
CUST-1035,61.0,Female,10,99.99,7235.20715279199,m2m,Electronic check,Yes
CUST-1036,34.0,Male,10,$56.95,4870.422762068196,Unknown,Electronic check,No
CUST-1037,25.0,Female,5,$105.50,4655.250656324771,m2m,Bank transfer,Yes
CUST-1038,52.0,Male,1,$56.95,4514.250962532741,One year,Mailed check,Yes
CUST-1039,45.0,Male,1,$56.95,3032.239176554298,m2m,Electronic check,No
CUST-1040,25.0,Female,3,$56.95,6306.580517880106,Unknown,Mailed check,No
CUST-1041,45.0,Female,8,INVALID,2097.107707724607,Unknown,Mailed check,No
CUST-1042,25.0,Male,0,$29.85,7517.270184326073,Month-to-month,Mailed check,Yes
CUST-1043,,Female,5,INVALID,7162.48311987099,One year,Credit card,Yes
CUST-1044,34.0,F,1,$105.50,2766.0945728316956,Month-to-month,Credit card,No
CUST-1045,52.0,Female,5,$29.85,5862.7637816701435,One year,Credit card,Yes
CUST-1046,34.0,Male,1,$56.95,4628.463236151772,m2m,Credit card,No
CUST-1047,45.0,Male,5,$105.50,2767.4294857939535,Unknown,Bank transfer,Yes
